feature,importance_mean,importance_std
td_int_ratio,0.32381173692408194,0.01245506345891473
games,0.0326086878503601,0.015347520146921706
win_pct,0.006439625038580077,0.000859187515854768
rushing_epa,0.002679423776745793,0.0002992061425526991
passing_epa,0.0021852412773379903,0.00014433808395417563
attempts,0.0008313534930126431,2.4591373271531657e-05
pass_ypg,0.0008214841983621435,1.9865422302607963e-05
passing_cpoe,0.00019469426719602722,0.0002466958226963053
passing_yards,0.00011502214310846748,6.68766559013459e-06
receiving_tds,4.8987589810656204e-05,2.7578622199363913e-05
passing_interceptions,4.432210506679635e-05,3.3136040712882055e-06
games_weighted_win,1.3278687347983986e-05,1.689422599024622e-05
completions,0.0,0.0
is_rb,0.0,0.0
passing_tds,0.0,0.0
recv_ypg,0.0,0.0
receiving_yards,0.0,0.0
win_pct_scaled,0.0,0.0
is_wr,0.0,0.0
receiving_epa,0.0,0.0
is_qb,0.0,0.0
efficiency_win,0.0,0.0
rushing_tds,-3.1402301160565746e-05,6.482293361454418e-06
rushing_yards,-0.00011286884245730322,2.332742371943167e-06
rush_ypg,-0.0001254297629215695,1.974592873410508e-05
